TFIDF, TF, IDF, URI
.00741,.00150,4.9412,https://www.youtube.com/watch?v=_6mtcKN1o-E
.00276,.00056,4.9412,http://www.patheos.com/blogs/poptheology/2017/01/shuffled-selections-january-22-28/?utm_campaign=shareaholic&utm_medium=twitter&utm_source=socialnetwork
.00380,.00077,4.9412,http://www.lapetitemortgallery.com/nyc-artist-james-brown-drawing/
.00143,.00029,4.9412,http://www.newslocker.com/en-us/music/r-and-b-hip-hop-news/see-this-amazing-nj-teen-blend-hop-hop-jazz-and-rampb-on-youtube-njcom/
.00642,.00130,4.9412,https://www.youtube.com/watch?v=jbe_1sNGQ2o
.00424,.00086,4.9412,http://www.lctmag.com/operations/news/719804/empirecls-adds-mci-luxury-buses-with-3-point-seatbelts?utm_source=dlvr.it&utm_medium=twitter
.00400,.00081,4.9412,https://www.talkbass.com/threads/fender-marcus-miller-mij-jazz-with-j-east-preamp.1266114/?utm_source=dlvr.it&utm_medium=twitter
.00168,.00034,4.9412,https://www.theatlantic.com/entertainment/archive/2017/01/missy-elliott-im-better-jamiroquai-automaton-videos/514736/?utm_source=twb
.00434,.00088,4.9412,http://thesop.org/story/20170131/judyth-piazza-interviews-renowned-jazz-vocalist-jan-daley.html
.00889,.00180,4.9412,https://www.youtube.com/watch?v=C7uYx1J0hzU
